dataset,real,user,sys
buchanj-midwinter-00-t.txt,0.218,0.229,0.051
carman-farhorizons-00-t.txt,0.061,0.052,0.024
charlesworth-scene-00-t.txt,0.137,0.133,0.037
cheyneyp-darkbahama-00-t.txt,0.187,0.199,0.041
colby-champlain-00-t.txt,0.110,0.090,0.048
delamare-bumps-00-t.txt,0.067,0.054,0.025
delamare-lucy-00-t.txt,0.059,0.055,0.020
delamare-myfanwy-00-t.txt,0.044,0.031,0.023
delamare-penny-00-t.txt,0.056,0.046,0.025
pg4300.txt,0.641,0.640,0.147
