dataset,real,user,sys
buchanj-midwinter-00-t.txt,3.338,6.112,0.328
carman-farhorizons-00-t.txt,3.540,8.763,0.303
charlesworth-scene-00-t.txt,3.432,8.667,0.328
cheyneyp-darkbahama-00-t.txt,3.434,9.114,0.386
colby-champlain-00-t.txt,3.544,8.515,0.342
delamare-bumps-00-t.txt,3.431,7.836,0.261
delamare-lucy-00-t.txt,3.326,5.455,0.261
delamare-myfanwy-00-t.txt,3.357,5.631,0.326
delamare-penny-00-t.txt,3.352,5.473,0.281
pg4300.txt,4.203,7.509,0.270
